"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"708","2017-2018","877654","Metamorphosis Greek Orthodox School","Elementary",133,134,NA,NA,133,134,267,"Private"
"709","2017-2018","886696","Metro International Secondary Academy","Secondary",NA,NA,48,44,48,44,92,"Private"
"710","2017-2018","884742","Metropolitan Bible Baptist Christian Aca","Elem/Sec",5,5,5,5,12,11,20,"Private"
"711","2017-2018","665539","Metropolitan College","Secondary",NA,NA,5,10,5,10,15,"Private"
"712","2017-2018","882070","Metropolitan Preparatory Academy","Elem/Sec",5,5,131,63,NA,NA,204,"Private"
"713","2017-2018","665576","Middlebrook Parochial School","Elementary",16,17,NA,NA,16,17,33,"Private"
"714","2017-2018","665713","Mighty Oak Elementary","Elementary",5,5,NA,NA,5,5,10,"Private"
"715","2017-2018","663375","Migizi Miigwanan Secondary School","Secondary",NA,NA,29,18,29,18,47,"Private"
"716","2017-2018","663697","Mikinaak Onigaming School","Elem/Sec",NA,NA,16,20,16,20,36,"Private"
"717","2017-2018","887964","Mildenhall School, The","Elementary",51,39,NA,NA,51,39,90,"Private"
"718","2017-2018","668620","Millennium Eacademy","Secondary",NA,NA,10,5,10,5,15,"Private"
"719","2017-2018","886543","Milton Christian School","Elementary",76,74,NA,NA,76,74,150,"Private"
"720","2017-2018","884557","Milton Prep Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"721","2017-2018","666408","MindTech Academic Schools, Inc","Elementary",135,82,NA,NA,135,82,217,"Private"
"722","2017-2018","666635","Mindtech Montessori Schools","Elementary",52,38,NA,NA,52,38,90,"Private"
"723","2017-2018","668579","Mindview Academy Site","Secondary",NA,NA,5,5,5,5,10,"Private"
"724","2017-2018","665135","Mindware Academy","Elementary",34,10,NA,NA,34,10,44,"Private"
"725","2017-2018","883933","Mindwerx4kids Learning Centre","Elementary",26,5,NA,NA,26,5,31,"Private"
"726","2017-2018","875180","Minto Meadow Parochial School","Elementary",16,21,NA,NA,16,21,37,"Private"
"727","2017-2018","665790","Missing Links Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"728","2017-2018","665312","Mississauga Children Montessori, The","Elementary",56,49,NA,NA,56,49,105,"Private"
"729","2017-2018","880647","Mississauga Christian Academy","Elementary",63,73,NA,NA,63,73,136,"Private"
"730","2017-2018","666192","Mississauga Christian French School","Elementary",24,31,NA,NA,24,31,55,"Private"
"731","2017-2018","668852","Mississauga First Nation Adult Education","Secondary",NA,NA,5,5,5,5,10,"Private"
"732","2017-2018","667051","Mississauga Secondary Academy","Secondary",NA,NA,35,30,35,30,65,"Private"
"733","2017-2018","663719","Mizhakiiwetung Memorial","Elem/Sec",NA,NA,74,67,74,67,141,"Private"
"734","2017-2018","886955","Montcrest School","Elementary",185,135,NA,NA,185,135,320,"Private"
"735","2017-2018","887919","Montessori Academy of London","Elementary",181,158,NA,NA,181,158,339,"Private"
"736","2017-2018","882780","Montessori Country School-Nobleton, The","Elementary",59,40,NA,NA,59,40,99,"Private"
"737","2017-2018","665711","Montessori Jewish Day School","Elementary",51,40,NA,NA,51,40,91,"Private"
"738","2017-2018","668375","Montessori Leaders School","Elementary",5,5,NA,NA,5,5,10,"Private"
"739","2017-2018","882917","Montessori Learning Centre","Elementary",104,86,NA,NA,104,86,190,"Private"
"740","2017-2018","666708","Montessori School of Elora","Elementary",5,5,NA,NA,5,5,10,"Private"
"741","2017-2018","666440","Montessori School of Kleinburg","Elementary",85,65,NA,NA,85,65,150,"Private"
"742","2017-2018","669398","Montessori School of Milton Inc","Elementary",17,11,NA,NA,17,11,28,"Private"
"743","2017-2018","875791","Montessori Village & Education Centre","Elementary",14,5,NA,NA,14,5,19,"Private"
"744","2017-2018","877301","Moose Factory Academy","Elementary",25,24,NA,NA,25,24,49,"Private"
"745","2017-2018","888583","Morning Star Christian School","Elem/Sec",5,5,5,5,10,12,20,"Private"
"746","2017-2018","884227","Mount Salem Christian School","Elementary",80,74,NA,NA,80,74,154,"Private"
"747","2017-2018","665100","Mulberry Waldorf School","Elementary",59,36,NA,NA,59,36,95,"Private"
"748","2017-2018","664875","Mundo Peetabeck Academy","Elem/Sec",NA,NA,32,23,32,23,55,"Private"
"749","2017-2018","880043","Muskoka Christian School","Elementary",48,36,NA,NA,48,36,84,"Private"
"750","2017-2018","878537","Muskoka Montessori School","Elementary",37,39,NA,NA,37,39,76,"Private"
"751","2017-2018","667390","NAMF Islamic Academy","Elementary",45,63,NA,NA,45,63,108,"Private"
"752","2017-2018","876623","Nancy Campbell Academy","Elem/Sec",5,5,34,34,NA,NA,78,"Private"
"753","2017-2018","879482","Nanjing-Bond International College","Secondary",NA,NA,110,98,110,98,208,"Private"
"754","2017-2018","884949","National Ski Academy","Secondary",NA,NA,13,14,13,14,27,"Private"
"755","2017-2018","663824","Nbisiing Secondary School","Secondary",NA,NA,52,36,52,36,88,"Private"
"756","2017-2018","668694","Near North Adventist Christian School","Elementary",5,10,NA,NA,5,10,15,"Private"
"757","2017-2018","887269","Ner Israel Yeshiva","Secondary",NA,NA,99,5,99,5,104,"Private"
"758","2017-2018","883239","Netivot Hatorah Day School","Elementary",345,321,NA,NA,345,321,666,"Private"
"759","2017-2018","889172","Neuchâtel Junior College","Secondary",NA,NA,26,48,26,48,74,"Private"
"760","2017-2018","876879","New Covenant Church School","Elementary",18,11,NA,NA,18,11,29,"Private"
"761","2017-2018","878308","New Haven Learning Centre","Elem/Sec",21,5,10,5,31,5,41,"Private"
"762","2017-2018","886552","New Hope Baptist School","Elem/Sec",5,5,NA,5,5,5,15,"Private"
"763","2017-2018","887587","New Jerusalem Parochial","Elementary",18,16,NA,NA,18,16,34,"Private"
"764","2017-2018","667013","New Oriental International College","Secondary",NA,NA,107,73,107,73,180,"Private"
"765","2017-2018","880493","Newmarket & District Christian Academy","Elementary",45,35,NA,NA,45,35,80,"Private"
"766","2017-2018","882021","Newmarket Montessori & Christian Academy","Elem/Sec",15,25,NA,5,15,NA,45,"Private"
"767","2017-2018","669008","Newton International Academy","Secondary",NA,NA,5,NA,5,NA,5,"Private"
"768","2017-2018","883695","Newton International College","Secondary",NA,NA,67,54,67,54,121,"Private"
"769","2017-2018","889709","Newton's Grove School","Elem/Sec",114,62,77,47,191,109,300,"Private"
"770","2017-2018","878006","Niagara Academy","Elem/Sec",5,5,10,5,NA,5,25,"Private"
"771","2017-2018","665460","Niagara Centre Academy","Elem/Sec",5,5,5,5,5,5,20,"Private"
"772","2017-2018","885142","Niagara Christian Collegiate","Secondary",NA,NA,121,108,121,108,229,"Private"
"773","2017-2018","669044","Niagara Christian Collegiate Middle Scho","Elementary",14,22,NA,NA,14,22,36,"Private"
"774","2017-2018","667082","Niagara Falls Collegiate Institute","Secondary",NA,NA,5,5,5,5,10,"Private"
"775","2017-2018","669644","Nile Academy Blue Haven Campus","Elem/Sec",64,57,48,30,112,87,199,"Private"
"776","2017-2018","669570","No. 1 Chinese School","Elementary",66,52,NA,NA,66,52,118,"Private"
"777","2017-2018","667077","Nobel Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"778","2017-2018","880824","Noon Academy","Elementary",42,31,NA,NA,42,31,73,"Private"
"779","2017-2018","668385","Noori Islamic Institute","Elementary",27,18,NA,NA,27,18,45,"Private"
"780","2017-2018","878669","North Hill Private School","Elementary",50,46,NA,NA,50,46,96,"Private"
"781","2017-2018","667285","North Shore Parochial","Elementary",5,5,NA,NA,5,5,10,"Private"
"782","2017-2018","889008","North Star Christian Day School","Elem/Sec",5,5,5,5,10,5,20,"Private"
"783","2017-2018","876895","North Toronto Christian School","Elem/Sec",109,124,69,69,178,193,371,"Private"
"784","2017-2018","885255","North Toronto Private High School","Secondary",NA,NA,11,5,11,5,16,"Private"
"785","2017-2018","668014","North Valley Parochial School","Elementary",17,14,NA,NA,17,14,31,"Private"
"786","2017-2018","887641","North Woolwich Parochial School","Elementary",14,13,NA,NA,14,13,27,"Private"
"787","2017-2018","666037","Northern Valley Parochial School","Elementary",10,17,NA,NA,10,17,27,"Private"
"788","2017-2018","875287","Northmount School","Elementary",111,NA,NA,NA,111,NA,111,"Private"
"789","2017-2018","878022","Northstar Montessori Private School","Elementary",128,104,NA,NA,128,104,232,"Private"
"790","2017-2018","880027","Northumberland Christian School","Elementary",32,26,NA,NA,32,26,58,"Private"
"791","2017-2018","878545","Northumberland Montessori School Inc.","Elementary",16,15,NA,NA,16,15,31,"Private"
"792","2017-2018","666857","Northview Collegiate","Secondary",NA,NA,5,5,5,5,10,"Private"
"793","2017-2018","668231","Nucleus High School","Secondary",NA,NA,11,5,11,5,16,"Private"
"794","2017-2018","886118","Oak Creek Parochial School","Elementary",12,5,NA,NA,12,5,17,"Private"
"795","2017-2018","882240","Oakville Christian School","Elementary",115,113,NA,NA,115,113,228,"Private"
"796","2017-2018","881742","Oakwood Academy","Elementary",31,5,NA,NA,31,5,36,"Private"
"797","2017-2018","663972","Ohahase Education Centre","Secondary",NA,NA,5,5,5,5,10,"Private"
"798","2017-2018","884901","Old Colony Christian Academy","Elem/Sec",131,102,5,13,NA,115,251,"Private"
"799","2017-2018","882733","Old Colony Christian Academy Cottam","Elem/Sec",73,75,5,5,NA,NA,158,"Private"
"800","2017-2018","875236","Old Colony Christian Academy- Kingsville","Elem/Sec",95,85,5,5,NA,NA,190,"Private"
"801","2017-2018","884855","Old Colony Christian School","Elem/Sec",143,119,NA,NA,143,119,262,"Private"
"802","2017-2018","666478","Olive Grove School","Elementary",416,433,NA,NA,416,433,849,"Private"
"803","2017-2018","886807","Olivet New Church School","Elementary",5,10,NA,NA,5,10,15,"Private"
"804","2017-2018","666956","OnCourse Education","Secondary",NA,NA,NA,5,NA,5,5,"Private"
"805","2017-2018","886298","One Direction Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"806","2017-2018","886540","One Forest","Elementary",5,5,NA,NA,5,5,10,"Private"
"807","2017-2018","887642","Ontario Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"808","2017-2018","669893","Ontario Academy Oakville Campus","Secondary",NA,NA,5,5,5,5,10,"Private"
"809","2017-2018","884354","Ontario Academy of Technology (OAT)","Secondary",NA,NA,29,14,29,14,43,"Private"
"810","2017-2018","880161","Ontario Hockey Academy","Secondary",NA,NA,93,48,93,48,141,"Private"
"811","2017-2018","889437","Ontario Institute of Technology UP Acade","Secondary",NA,NA,13,5,13,5,18,"Private"
"812","2017-2018","666777","Ontario International College","Secondary",NA,NA,123,100,123,100,223,"Private"
"813","2017-2018","667498","Ontario International Institute","Secondary",NA,NA,NA,5,NA,5,5,"Private"
"814","2017-2018","885901","Ontario Muslim Academy","Elementary",49,56,NA,NA,49,56,105,"Private"
"815","2017-2018","887129","Ontario Online Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"816","2017-2018","665804","Ontario Virtual School","Secondary",NA,NA,270,157,270,157,427,"Private"
"817","2017-2018","882694","Ontario eSchool","Secondary",NA,NA,42,41,42,41,83,"Private"
"818","2017-2018","667186","Ontario eSecondary School","Secondary",NA,NA,5,5,5,5,10,"Private"
"819","2017-2018","665831","OpenMind Alliance Academy","Elementary",17,5,NA,NA,17,5,22,"Private"
"820","2017-2018","880248","Or Haemet Sephardic School","Elementary",116,128,NA,NA,116,128,244,"Private"
"821","2017-2018","880744","Orangeville Christian School","Elementary",53,57,NA,NA,53,57,110,"Private"
"822","2017-2018","880442","Orillia Christian School","Elementary",53,20,NA,NA,53,20,73,"Private"
"823","2017-2018","885339","Ottawa Adventist Elementary School","Elementary",24,24,NA,NA,24,24,48,"Private"
"824","2017-2018","887358","Ottawa Christian School","Elementary",129,107,NA,NA,129,107,236,"Private"
"825","2017-2018","884146","Ottawa Islamic School","Elem/Sec",152,114,88,76,240,190,430,"Private"
"826","2017-2018","669700","Ottawa Jewish Community School","Elementary",80,76,NA,NA,80,76,156,"Private"
"827","2017-2018","881238","Ottawa Montessori School/Ecole Montessor","Elementary",65,71,NA,NA,65,71,136,"Private"
"828","2017-2018","882259","Ottawa Torah Institute","Secondary",NA,NA,10,NA,10,NA,10,"Private"
"829","2017-2018","667913","Ottawa Victory Christian Academy","Elem/Sec",5,5,5,5,5,11,20,"Private"
"830","2017-2018","888788","Otter Lake Christian School","Elem/Sec",14,14,5,5,NA,NA,38,"Private"
"831","2017-2018","668714","Otter Valley Christian School","Elem/Sec",5,5,5,NA,5,5,15,"Private"
"832","2017-2018","665195","Our Lady of Mount Carmel Academy","Elem/Sec",18,5,37,NA,55,5,60,"Private"
"833","2017-2018","881566","Our Lady of the Pillar Academy","Elementary",20,22,NA,NA,20,22,42,"Private"
"834","2017-2018","877689","Our Lady of the Wayside Catholic School","Elem/Sec",14,21,5,5,NA,NA,45,"Private"
"835","2017-2018","876658","Owen Sound Canadian Reformed School","Elementary",22,21,NA,NA,22,21,43,"Private"
"836","2017-2018","667315","Oxford College of Canada","Secondary",NA,NA,44,67,44,67,111,"Private"
"837","2017-2018","668186","Oxford Learning Academy","Elementary",30,23,NA,NA,30,23,53,"Private"
"838","2017-2018","667985","Oxford Reformed Christian School","Elem/Sec",118,114,53,45,171,159,330,"Private"
"839","2017-2018","666343","P.T.Montessori","Elementary",35,26,NA,NA,35,26,61,"Private"
"840","2017-2018","668742","PICC Ummati Elementary School","Elementary",17,53,NA,NA,17,53,70,"Private"
"841","2017-2018","668194","Parkdale Montessori School","Elementary",5,5,NA,NA,5,5,10,"Private"
"842","2017-2018","886248","Parkside Academy","Elem/Sec",5,5,5,5,5,5,20,"Private"
"843","2017-2018","888311","Pathfinder Christian School","Elem/Sec",18,23,5,5,NA,NA,51,"Private"
"844","2017-2018","878880","Pathways Academy & Early Learning Centre","Elementary",44,37,NA,NA,44,37,81,"Private"
"845","2017-2018","889191","Pathways Education Services Inc.","Secondary",NA,NA,5,5,5,5,10,"Private"
"846","2017-2018","669660","Pathways Educational Services Inc","Secondary",NA,NA,13,5,13,5,18,"Private"
"847","2017-2018","878685","Paul Penna Downtown Jewish Day School","Elementary",80,70,NA,NA,80,70,150,"Private"
"848","2017-2018","665848","Peak Centre Academy","Elem/Sec",21,5,20,5,41,11,51,"Private"
"849","2017-2018","877670","Peel Adventist School","Elementary",56,48,NA,NA,56,48,104,"Private"
"850","2017-2018","875732","Peel Montessori School","Elementary",40,26,NA,NA,40,26,66,"Private"
"851","2017-2018","663700","Pelican Falls First Nations High School","Secondary",NA,NA,83,101,83,101,184,"Private"
"852","2017-2018","665160","Peoples Christian Academy","Elem/Sec",206,194,55,45,261,239,500,"Private"
"853","2017-2018","883640","Petre College","Secondary",NA,NA,5,5,5,5,10,"Private"
"854","2017-2018","878626","Philopateer Christian College","Elem/Sec",96,81,72,62,168,143,311,"Private"
"855","2017-2018","665010","Phoenix Montessori School Inc","Elementary",18,18,NA,NA,18,18,36,"Private"
"856","2017-2018","884359","Pickering Christian School","Elementary",114,112,NA,NA,114,112,226,"Private"
"857","2017-2018","885827","Pickering College","Elem/Sec",94,87,117,127,211,214,425,"Private"
"858","2017-2018","887324","Pine Mountain","Elementary",5,5,NA,NA,5,5,10,"Private"
"859","2017-2018","665443","Pine Ridge Amish School","Elementary",5,5,NA,NA,5,5,10,"Private"
"860","2017-2018","883938","Pinehaven Christian School","Elementary",5,5,NA,NA,5,5,10,"Private"
"861","2017-2018","888435","Pineview Mennonite School","Elem/Sec",21,17,5,5,NA,NA,48,"Private"
"862","2017-2018","875228","Plattsville Christian Private Elementary","Elementary",25,24,NA,NA,25,24,49,"Private"
"863","2017-2018","878820","Pleasant View Parochial School","Elementary",25,15,NA,NA,25,15,40,"Private"
"864","2017-2018","875406","Poplar Grove Parochial School","Elementary",13,5,NA,NA,13,5,18,"Private"
"865","2017-2018","887834","Portlock Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"866","2017-2018","884983","Prairie View School","Elementary",5,5,NA,NA,5,5,10,"Private"
"867","2017-2018","883927","Premium Institute of Excellence","Secondary",NA,NA,12,10,12,10,22,"Private"
"868","2017-2018","665949","Prestige School, The -Richmond Hill","Elem/Sec",15,23,NA,5,15,NA,43,"Private"
"869","2017-2018","666394","Prestige School, The -Toronto","Elem/Sec",77,55,31,29,108,84,192,"Private"
"870","2017-2018","878154","Pretty River Academy","Elem/Sec",5,16,5,5,17,NA,31,"Private"
"871","2017-2018","888438","Primary Prep Academy","Elementary",5,11,NA,NA,5,11,16,"Private"
"872","2017-2018","885415","Princeton Academy of Canada","Secondary",NA,NA,18,11,18,11,29,"Private"
"873","2017-2018","880862","Prosperity Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"874","2017-2018","668622","Protestant Reformed School in Wingham","Elem/Sec",5,5,NA,5,5,10,15,"Private"
"875","2017-2018","885401","Providence Christian School","Elementary",111,130,NA,NA,111,130,241,"Private"
"876","2017-2018","877999","Providence Reformed Collegiate","Secondary",NA,NA,52,45,52,45,97,"Private"
"877","2017-2018","883813","Quantum Academy","Elem/Sec",5,5,5,5,11,5,20,"Private"
"878","2017-2018","882306","Queen Elizabeth Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"879","2017-2018","883508","Queen's Academic School","Secondary",NA,NA,5,15,5,15,20,"Private"
"880","2017-2018","666920","Queen's Collegiate","Secondary",NA,NA,13,11,13,11,24,"Private"
"881","2017-2018","883297","Queen's Elite Academy of Canada","Secondary",NA,NA,5,5,5,5,10,"Private"
"882","2017-2018","889830","Quinte Christian High School","Secondary",NA,NA,59,69,59,69,128,"Private"
"883","2017-2018","668682","Quintilian Private School of Kingston","Elementary",22,5,NA,NA,22,5,27,"Private"
"884","2017-2018","669441","Rahmah Academy","Elementary",10,5,NA,NA,10,5,15,"Private"
"885","2017-2018","887765","Red Hill Parochial School","Elementary",19,12,NA,NA,19,12,31,"Private"
"886","2017-2018","889067","Redeemer Christian High School","Secondary",NA,NA,69,79,69,79,148,"Private"
"887","2017-2018","880108","Rehoboth Christian School","Elem/Sec",137,118,75,53,212,171,383,"Private"
"888","2017-2018","889016","Rehoboth Christian School","Elem/Sec",336,291,111,133,447,424,871,"Private"
"889","2017-2018","667185","Resurrection Christian Academy","Elementary",55,35,NA,NA,55,35,90,"Private"
"890","2017-2018","885146","Revel Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"891","2017-2018","880574","Rhema Christian School","Elementary",46,33,NA,NA,46,33,79,"Private"
"892","2017-2018","665754","Richland Academy","Elementary",78,65,NA,NA,78,65,143,"Private"
"893","2017-2018","885682","Richmond Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"894","2017-2018","667056","Richmond Hill Christian Academy","Elem/Sec",187,167,5,5,NA,NA,364,"Private"
"895","2017-2018","668474","Richmond Hill Learning Centre","Secondary",NA,NA,22,12,22,12,34,"Private"
"896","2017-2018","876518","Richmond Hill Montessori Elementary Scho","Elementary",309,313,NA,NA,309,313,622,"Private"
"897","2017-2018","886335","Ridley College","Elem/Sec",100,99,264,236,364,335,699,"Private"
"898","2017-2018","887603","Riverbend Academy","Elementary",17,5,NA,NA,17,5,22,"Private"
"899","2017-2018","882110","Riverforest Montessori School","Elementary",18,19,NA,NA,18,19,37,"Private"
"900","2017-2018","665725","Riverside Christian Montessori School","Elementary",5,5,NA,NA,5,5,10,"Private"
"901","2017-2018","880876","Riverside Parochial School","Elementary",20,16,NA,NA,20,16,36,"Private"
"902","2017-2018","666726","Riyadh Alsalehin School","Elem/Sec",196,227,35,52,231,279,510,"Private"
"903","2017-2018","887153","Robbins Hebrew Academy","Elementary",196,160,NA,NA,196,160,356,"Private"
"904","2017-2018","880051","Robert Land Academy","Elem/Sec",17,NA,75,NA,92,NA,92,"Private"
"905","2017-2018","887762","Rock Community Christian","Elementary",11,5,NA,NA,11,5,16,"Private"
"906","2017-2018","876771","Rock of Help Christian Academy","Elem/Sec",5,5,5,5,10,5,20,"Private"
"907","2017-2018","885681","Rockway Mennonite Collegiate Inc","Elem/Sec",24,29,111,92,135,121,256,"Private"
"908","2017-2018","885879","Rocky Ridge Parochial","Elementary",12,5,NA,NA,12,5,17,"Private"
"909","2017-2018","665746","Roger White Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"910","2017-2018","667188","Ronald McDonald House Charities Toronto","Elementary",5,5,NA,NA,5,5,10,"Private"
"911","2017-2018","668726","Rosedale Academy","Secondary",NA,NA,84,64,84,64,148,"Private"
"912","2017-2018","877085","Rosedale Day School, The","Elementary",84,55,NA,NA,84,55,139,"Private"
"913","2017-2018","887617","Rosseau Lake College Private School","Elem/Sec",5,5,46,40,NA,NA,96,"Private"
"914","2017-2018","880957","Rotherglen School","Elementary",260,228,NA,NA,260,228,488,"Private"
"915","2017-2018","884950","Rotherglen School - Oakville Elementary","Elem/Sec",255,246,18,5,273,NA,524,"Private"
"916","2017-2018","668261","Rouge Valley Education Center","Secondary",NA,NA,61,53,61,53,114,"Private"
"917","2017-2018","886530","Rowntree Montessori Schools","Elementary",251,209,NA,NA,251,209,460,"Private"
"918","2017-2018","882744","Royal City Baptist Academy","Elem/Sec",5,5,NA,5,5,5,15,"Private"
"919","2017-2018","887482","Royal Crown Academic School","Secondary",NA,NA,226,133,226,133,359,"Private"
"920","2017-2018","669681","Royal Elite International Academy","Secondary",NA,NA,62,64,62,64,126,"Private"
"921","2017-2018","880996","Royal Imperial Collegiate of Canada","Secondary",NA,NA,40,5,40,5,45,"Private"
"922","2017-2018","885094","Royal Oak Community School","Elementary",20,5,NA,NA,20,5,25,"Private"
"923","2017-2018","887005","Royal St George's College","Elem/Sec",174,NA,272,NA,446,NA,446,"Private"
"924","2017-2018","669152","RoyalCrest Academy","Elem/Sec",50,47,5,5,NA,NA,107,"Private"
"925","2017-2018","665178","Rutherford Private School and Daycare","Elem/Sec",29,15,5,5,NA,NA,54,"Private"
"926","2017-2018","668952","SIMRA Academy Private School","Secondary",NA,NA,24,19,24,19,43,"Private"
"927","2017-2018","664813","SNP STEAM Academy","Secondary",NA,NA,20,11,20,11,31,"Private"
"928","2017-2018","887085","Saba's Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"929","2017-2018","884856","Safa & Marwa Islamic School","Elementary",101,108,NA,NA,101,108,209,"Private"
"930","2017-2018","668541","Safa & Marwa Islamic School","Elem/Sec",33,24,35,35,68,59,127,"Private"
"931","2017-2018","663794","Sakatcheway Anishinabe","Elem/Sec",NA,NA,26,20,26,20,46,"Private"
"932","2017-2018","878170","Salaheddin Islamic School","Elem/Sec",116,143,37,57,153,200,353,"Private"
"933","2017-2018","875392","Salem Valley Parochial School","Elementary",22,10,NA,NA,22,10,32,"Private"
"934","2017-2018","887248","Salvador Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"935","2017-2018","886146","Sandy Lake Christian School","Elem/Sec",5,5,5,NA,10,5,15,"Private"
"936","2017-2018","886416","Sarnia Christian School","Elementary",66,65,NA,NA,66,65,131,"Private"
"937","2017-2018","666269","Sarnia Islamic Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"938","2017-2018","665134","Sathya Sai School, Toronto, Canada","Elementary",108,124,NA,NA,108,124,232,"Private"
"939","2017-2018","882644","Saugeen Pines Parochial School","Elementary",16,11,NA,NA,16,11,27,"Private"
"940","2017-2018","884138","Saugeen Riverside Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"941","2017-2018","882216","Scholars' Hall Private School","Elem/Sec",49,44,22,15,71,59,130,"Private"
"942","2017-2018","889954","Scriven Christian Academy","Elem/Sec",5,5,NA,NA,5,5,10,"Private"
"943","2017-2018","667497","Seerah Mission School","Elementary",17,21,NA,NA,17,21,38,"Private"
"944","2017-2018","877328","Seneca Hill Private School","Elem/Sec",43,33,5,5,NA,NA,86,"Private"
"945","2017-2018","663743","Seven Generations Secondary School","Secondary",NA,NA,46,69,46,69,115,"Private"
"946","2017-2018","880718","Sevenoaks Academy","Elementary",17,11,NA,NA,17,11,28,"Private"
"947","2017-2018","666978","Sharpminds Tutoring Inc.","Secondary",NA,NA,30,38,30,38,68,"Private"
"948","2017-2018","886218","Shekinah Christian School","Elem/Sec",5,14,5,NA,12,14,24,"Private"
"949","2017-2018","875643","Sherwood Heights School","Elem/Sec",111,109,5,5,NA,NA,230,"Private"
"950","2017-2018","668543","Sherwood Heights School - Mississauga","Elem/Sec",129,112,5,NA,NA,112,246,"Private"
"951","2017-2018","877190","Shiloh Christian Institute","Elem/Sec",17,5,5,5,NA,5,32,"Private"
"952","2017-2018","882005","Shiloh Christian School","Elem/Sec",20,10,5,NA,NA,10,35,"Private"
"953","2017-2018","665643","Shmuel Zahavy Cheder Chabad School","Elementary",233,NA,NA,NA,233,NA,233,"Private"
"954","2017-2018","880159","Shoore Academics","Elem/Sec",5,NA,5,5,10,5,15,"Private"
"955","2017-2018","883145","Sidney Ledson Institute - North York","Elementary",29,31,NA,NA,29,31,60,"Private"
"956","2017-2018","889237","Signet Christian Private School","Elem/Sec",5,5,5,5,5,5,20,"Private"
"957","2017-2018","876780","Silver Lake Parochial School","Elementary",13,5,NA,NA,13,5,18,"Private"
"958","2017-2018","882031","Simcoe Academy","Elem/Sec",5,NA,5,5,5,5,15,"Private"
"959","2017-2018","663786","Simon Jacob Memorial Education Centre","Elem/Sec",NA,NA,28,30,28,30,58,"Private"
"960","2017-2018","887773","Smithside Parochial School","Elementary",13,14,NA,NA,13,14,27,"Private"
"961","2017-2018","881066","Smithville District Christian High Schoo","Secondary",NA,NA,108,121,108,121,229,"Private"
"962","2017-2018","669969","Socrates","Secondary",NA,NA,26,34,26,34,60,"Private"
"963","2017-2018","889300","Somerset Academy","Elementary",73,46,NA,NA,73,46,119,"Private"
"964","2017-2018","888588","Songbirds Montessori School","Elementary",5,5,NA,NA,5,5,10,"Private"
"965","2017-2018","888702","Sonrise Christian Academy","Elementary",23,36,NA,NA,23,36,59,"Private"
"966","2017-2018","880414","Soul Studio Annex","Elementary",11,5,NA,NA,11,5,16,"Private"
"967","2017-2018","883009","South Belmore Parochial School","Elementary",12,20,NA,NA,12,20,32,"Private"
"968","2017-2018","882097","South Bend Parochial School","Elementary",14,5,NA,NA,14,5,19,"Private"
"969","2017-2018","887781","South Heidelberg Parochial School","Elementary",15,14,NA,NA,15,14,29,"Private"
"970","2017-2018","668485","South Point Christian School","Elem/Sec",22,16,5,5,NA,NA,48,"Private"
"971","2017-2018","665245","South Shore Christian School","Elementary",57,52,NA,NA,57,52,109,"Private"
"972","2017-2018","884978","Southern Ontario Collegiate","Secondary",NA,NA,41,25,41,25,66,"Private"
"973","2017-2018","884405","Spruce Ridge Parochial School","Elementary",5,15,NA,NA,5,15,20,"Private"
"974","2017-2018","878219","Spruce Vale Parochial School","Elementary",22,29,NA,NA,22,29,51,"Private"
"975","2017-2018","885649","St Andrew's College","Elem/Sec",179,NA,460,NA,639,NA,639,"Private"
"976","2017-2018","887013","St Clement's School","Elem/Sec",NA,219,NA,235,NA,454,454,"Private"
"977","2017-2018","666564","St George Academy","Secondary",NA,NA,12,5,12,5,17,"Private"
"978","2017-2018","888672","St John's-Kilmarnock School","Elem/Sec",111,110,84,68,195,178,373,"Private"
"979","2017-2018","887145","St Michael's College School","Elem/Sec",219,NA,831,NA,1050,NA,1050,"Private"
"980","2017-2018","885932","St Mildred's-Lightbourn School","Elem/Sec",NA,346,NA,212,NA,558,558,"Private"
"981","2017-2018","888849","St. Clement's Early Learning","Elementary",46,26,NA,NA,46,26,72,"Private"
"982","2017-2018","882748","St. Helen's Parochial School","Elementary",18,5,NA,NA,18,5,23,"Private"
"983","2017-2018","883829","St. Jude's Academy","Elem/Sec",192,160,50,21,242,181,423,"Private"
"984","2017-2018","667690","St. Jude's School Inc","Elementary",14,5,NA,NA,14,5,19,"Private"
