"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"5153","2015-2016","666130","Deutsche Schule Toronto","Elementary",28,28,NA,NA,28,28,56,"Private"
"5154","2015-2016","668563","Dewey College","Elem/Sec",NA,NA,33,21,33,21,54,"Private"
"5155","2015-2016","884239","Discipleship Christian Secondary","Secondary",NA,NA,10,11,10,11,21,"Private"
"5156","2015-2016","886754","Discovering Minds Montessori Preschool I","Elementary",18,18,NA,NA,18,18,36,"Private"
"5157","2015-2016","884964","Discovery Academy Inc","Elem/Sec",28,21,94,76,122,97,219,"Private"
"5158","2015-2016","666270","Don Valley Academy","Secondary",NA,NA,39,26,39,26,65,"Private"
"5159","2015-2016","877166","Donegal Community Christian School","Elem/Sec",37,47,5,5,NA,NA,94,"Private"
"5160","2015-2016","665274","Dragon Academy, The","Elem/Sec",11,5,31,10,42,NA,57,"Private"
"5161","2015-2016","884553","Dresden Private Mennonite School","Elementary",100,85,NA,NA,100,85,185,"Private"
"5162","2015-2016","887714","Dufferin Area Christian School","Elementary",55,55,NA,NA,55,55,110,"Private"
"5163","2015-2016","668454","Duke Academy","Secondary",NA,NA,25,5,25,5,30,"Private"
"5164","2015-2016","887951","Dunblaine School, The","Elementary",17,12,NA,NA,17,12,29,"Private"
"5165","2015-2016","667206","Duncan Academy, The","Secondary",NA,NA,37,25,37,25,62,"Private"
"5166","2015-2016","669699","Dundas Valley Montessori School","Elementary",53,54,NA,NA,53,54,107,"Private"
"5167","2015-2016","888575","Dunnville Christian Private Elementary","Elementary",91,61,NA,NA,91,61,152,"Private"
"5168","2015-2016","887544","Durham Christian High School","Secondary",NA,NA,49,36,49,36,85,"Private"
"5169","2015-2016","668038","Durham Elementary Private School","Elementary",40,32,NA,NA,40,32,72,"Private"
"5170","2015-2016","884452","ELPIS COLLEGE TORONTO","Secondary",NA,NA,30,11,30,11,41,"Private"
"5171","2015-2016","885597","Eagles' Nest Christian Academy","Elem/Sec",5,5,NA,5,5,5,15,"Private"
"5172","2015-2016","665297","Early Years Education System","Elementary",5,5,NA,NA,5,5,10,"Private"
"5173","2015-2016","885860","East Dorking Parochial School","Elementary",23,19,NA,NA,23,19,42,"Private"
"5174","2015-2016","887560","East Heidelberg Parochial School","Elementary",18,18,NA,NA,18,18,36,"Private"
"5175","2015-2016","882251","Eastern Canada High School","Elem/Sec",NA,NA,20,19,20,19,39,"Private"
"5176","2015-2016","886130","Eben-Ezer Christian School","Elementary",14,18,NA,NA,14,18,32,"Private"
"5177","2015-2016","884292","Eben-ezer Christian School","Elem/Sec",5,5,NA,NA,5,5,10,"Private"
"5178","2015-2016","668010","Edelweiss Private Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"5179","2015-2016","883964","Edge Hill Country School","Elementary",15,14,NA,NA,15,14,29,"Private"
"5180","2015-2016","663492","Eenchokay Birchstick","Elem/Sec",NA,NA,50,37,50,37,87,"Private"
"5181","2015-2016","887234","Eitz Chaim Schools - Patricia School","Elementary",389,441,NA,NA,389,441,830,"Private"
"5182","2015-2016","881106","Elements of Knowledge","Secondary",NA,NA,5,5,5,5,10,"Private"
"5183","2015-2016","667085","Elite Academic School","Secondary",NA,NA,12,5,12,5,17,"Private"
"5184","2015-2016","883299","Elite E-academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"5185","2015-2016","889246","Elite Montessori School","Elementary",20,13,NA,NA,20,13,33,"Private"
"5186","2015-2016","666327","Ellesmere Montessori School Inc","Elementary",23,17,NA,NA,23,17,40,"Private"
"5187","2015-2016","875562","Ellington Montessori School","Elementary",42,26,NA,NA,42,26,68,"Private"
"5188","2015-2016","876593","Elm Creek Parochial School","Elementary",25,16,NA,NA,25,16,41,"Private"
"5189","2015-2016","665568","Elmira North Parochial School","Elementary",18,15,NA,NA,18,15,33,"Private"
"5190","2015-2016","886300","Elmwood School","Elem/Sec",NA,193,NA,174,NA,367,367,"Private"
"5191","2015-2016","881651","Elora Road Christian School","Elementary",57,44,NA,NA,57,44,101,"Private"
"5192","2015-2016","881900","Elpis College","Secondary",NA,NA,13,5,13,5,18,"Private"
"5193","2015-2016","667463","Emmanuel Christian Academy","Elementary",5,15,NA,NA,5,15,20,"Private"
"5194","2015-2016","889776","Emmanuel Christian High School","Secondary",NA,NA,86,87,86,87,173,"Private"
"5195","2015-2016","665827","English for International Communication","Elementary",5,11,NA,NA,5,11,16,"Private"
"5196","2015-2016","880789","Enrichment Secondary School","Secondary",NA,NA,5,5,5,5,10,"Private"
"5197","2015-2016","889027","Erudite School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5198","2015-2016","881135","Eureka Montessori","Elementary",5,5,NA,NA,5,5,10,"Private"
"5199","2015-2016","668651","Everest Academy","Elem/Sec",48,5,87,20,135,NA,160,"Private"
"5200","2015-2016","669311","Excel High School","Secondary",NA,NA,12,5,12,5,17,"Private"
"5201","2015-2016","665835","Exceptional Learning Centre","Elementary",5,5,NA,NA,5,5,10,"Private"
"5202","2015-2016","888800","Fair Haven Christian Day School","Elem/Sec",38,34,5,5,NA,NA,82,"Private"
"5203","2015-2016","667608","Fairbanks Parochial School","Elementary",5,10,NA,NA,5,10,15,"Private"
