School Number,School Name,School Level,Public_Private,Enrolment,Academic Year
577669,Vincent Massey PS,Elementary,Public,462,2016-2017
093700,Walter E Harris PS,Elementary,Public,588,2016-2017
590916,Waverly PS,Elementary,Public,383,2016-2017
325635,West Lynde PS,Elementary,Public,432,2016-2017
598909,Westcreek PS,Elementary,Public,353,2016-2017
595535,Westney Heights PS,Elementary,Public,360,2016-2017
171101,Whitby Shores P.S. PS,Elementary,Public,680,2016-2017
610704,William Dunbar PS,Elementary,Public,624,2016-2017
525960,Williamsburg PS,Elementary,Public,706,2016-2017
614904,Winchester PS,Elementary,Public,573,2016-2017
617440,Woodcrest PS,Elementary,Public,305,2016-2017
438276,da Vinci Public School E PS,Elementary,Public,868,2016-2017
004758,Agnes Hodge PS,Elementary,Public,419,2016-2017
019224,Anna Melick Memorial S,Elementary,Public,92,2016-2017
031739,Banbury Heights S,Elementary,Public,388,2016-2017
041807,Bellview PS,Elementary,Public,236,2016-2017
521116,Bloomsburg PS,Elementary,Public,195,2016-2017
403466,Boston PS,Elementary,Public,192,2016-2017
034339,Branlyn Community S,Elementary,Public,316,2016-2017
896187,Brantford CI & VS,Secondary,Public,1281,2016-2017
062006,Brier Park PS,Elementary,Public,323,2016-2017
070254,Burford District E S,Elementary,Public,491,2016-2017
075604,Caledonia Centennial PS,Elementary,Public,292,2016-2017
899046,Cayuga SS,Secondary,Public,519,2016-2017
089966,Cedarland PS,Elementary,Public,274,2016-2017
090077,Centennial-Grand Woodlands S,Elementary,Public,232,2016-2017
090816,Central PS,Elementary,Public,194,2016-2017
468064,Cobblestone E S,Elementary,Public,492,2016-2017
126306,Courtland PS,Elementary,Public,228,2016-2017
903728,Delhi DSS,Secondary,Public,536,2016-2017
136441,Delhi PS,Elementary,Public,423,2016-2017
151130,Dufferin PS,Elementary,Public,432,2016-2017
906069,Dunnville SS,Secondary,Public,422,2016-2017
170372,Elgin Avenue PS,Elementary,Public,237,2016-2017
192341,Fairview Avenue PS,Elementary,Public,270,2016-2017
192880,Fairview S,Elementary,Public,622,2016-2017
220035,Glen Morris Central PS,Elementary,Public,171,2016-2017
226017,Graham Bell-Victoria PS,Elementary,Public,154,2016-2017
891304,Grand Erie Learning Alternatives,Secondary,Public,119,2016-2017
227196,Grandview Central PS,Elementary,Public,128,2016-2017
227056,Grandview PS,Elementary,Public,208,2016-2017
229393,Greenbrier PS,Elementary,Public,225,2016-2017
233706,Hagersville E S,Elementary,Public,268,2016-2017
915033,Hagersville SS,Secondary,Public,477,2016-2017
265608,Houghton PS,Elementary,Public,310,2016-2017
280097,J L Mitchener PS,Elementary,Public,284,2016-2017
281263,James Hillier PS,Elementary,Public,307,2016-2017
282308,Jarvis PS,Elementary,Public,286,2016-2017
295434,King George S,Elementary,Public,312,2016-2017
145602,Lakewood E S,Elementary,Public,407,2016-2017
097314,Langton PS,Elementary,Public,196,2016-2017
308170,Lansdowne-Costain PS,Elementary,Public,251,2016-2017
326259,Lynndale Heights PS,Elementary,Public,364,2016-2017
329100,Major Ballachey PS,Elementary,Public,313,2016-2017
898007,McKinnon Park SS,Secondary,Public,818,2016-2017
378372,Mount Pleasant S,Elementary,Public,201,2016-2017
930245,North Park C & VS,Secondary,Public,1140,2016-2017
410225,North Ward S,Elementary,Public,393,2016-2017
502324,Oakland-Scotland PS,Elementary,Public,177,2016-2017
417505,Oneida Central PS,Elementary,Public,252,2016-2017
097446,Onondaga-Brant PS,Elementary,Public,212,2016-2017
097578,Paris Central PS,Elementary,Public,160,2016-2017
933490,Paris DHS,Secondary,Public,828,2016-2017
934402,Pauline Johnson C & VS,Secondary,Public,818,2016-2017
451304,Port Rowan PS,Elementary,Public,244,2016-2017
452866,Prince Charles PS,Elementary,Public,189,2016-2017
456764,Princess Elizabeth PS,Elementary,Public,184,2016-2017
469505,Rainham Central S,Elementary,Public,240,2016-2017
485306,River Heights S,Elementary,Public,552,2016-2017
494208,Russell Reid PS,Elementary,Public,313,2016-2017
412984,Ryerson Heights E S,Elementary,Public,577,2016-2017
505510,Seneca Central PS,Elementary,Public,136,2016-2017
941557,Simcoe Comp S,Secondary,Public,745,2016-2017
521760,St George-German PS,Elementary,Public,386,2016-2017
403725,Teeterville PS,Elementary,Public,189,2016-2017
153931,Thompson Creek E S,Elementary,Public,357,2016-2017
916412,Tollgate Technological Skills Centre SS,Secondary,Public,297,2016-2017
949035,Valley Heights SS,Secondary,Public,513,2016-2017
584037,Walpole North E S,Elementary,Public,247,2016-2017
586110,Walsh PS,Elementary,Public,470,2016-2017
176049,Walter Gretzky E S,Elementary,Public,618,2016-2017
950785,Waterford DHS,Secondary,Public,415,2016-2017
001899,Waterford PS,Elementary,Public,337,2016-2017
596647,West Lynn PS,Elementary,Public,298,2016-2017
619396,Woodman-Cainsville S,Elementary,Public,451,2016-2017
001104,A V Graham PS,Elementary,Public,487,2016-2017
018660,Amherstburg PS,Elementary,Public,423,2016-2017
019054,Anderdon PS,Elementary,Public,548,2016-2017
929727,Belle River DHS,Secondary,Public,793,2016-2017
041297,Belle River PS,Elementary,Public,658,2016-2017
041947,Bellewood PS,Elementary,Public,921,2016-2017
098094,Centennial Central PS,Elementary,Public,205,2016-2017
095885,Central PS,Elementary,Public,239,2016-2017
091073,Colchester North PS,Elementary,Public,224,2016-2017
123838,Coronation PS,Elementary,Public,234,2016-2017
131245,D M Eagle PS,Elementary,Public,316,2016-2017
134880,David Maxwell PS,Elementary,Public,241,2016-2017
142948,Dougall Avenue PS,Elementary,Public,344,2016-2017
590984,Dr. David Suzuki PS,Elementary,Public,471,2016-2017
362379,East Mersea PS,Elementary,Public,208,2016-2017
164690,Eastwood PS,Elementary,Public,276,2016-2017
909440,Essex DHS,Secondary,Public,724,2016-2017
334012,Essex PS,Elementary,Public,612,2016-2017
201391,Forest Glade PS,Elementary,Public,524,2016-2017
203009,Frank W Begley PS,Elementary,Public,543,2016-2017
911780,General Amherst HS,Secondary,Public,639,2016-2017
211192,General Brock PS,Elementary,Public,313,2016-2017
034361,Giles Campus French Immersion PS,Elementary,Public,700,2016-2017
220817,Glenwood PS,Elementary,Public,293,2016-2017
222119,Gordon McGregor PS,Elementary,Public,329,2016-2017
222240,Gore Hill PS,Elementary,Public,221,2016-2017
091464,Gosfield North PS,Elementary,Public,461,2016-2017
245658,Harrow PS,Elementary,Public,406,2016-2017
917249,Hon W C Kennedy CI,Secondary,Public,870,2016-2017
268267,Hugh Beaton PS,Elementary,Public,334,2016-2017
279315,J A McWilliam PS,Elementary,Public,292,2016-2017
091596,Jack Miner PS,Elementary,Public,492,2016-2017
283347,John Campbell PS,Elementary,Public,325,2016-2017
294659,King Edward PS,Elementary,Public,329,2016-2017
920100,Kingsville DHS,Secondary,Public,726,2016-2017
300500,Kingsville PS,Elementary,Public,535,2016-2017
308897,LaSalle PS,Elementary,Public,551,2016-2017
551941,Lakeshore Discovery S,Elementary,Public,897,2016-2017
922188,Leamington DSS,Secondary,Public,893,2016-2017
327026,M S Hetherington PS,Elementary,Public,356,2016-2017
331180,Malden Central PS,Elementary,Public,271,2016-2017
338206,Margaret D Bennie PS,Elementary,Public,255,2016-2017
343536,Marlborough PS,Elementary,Public,355,2016-2017
364720,Mill Street PS,Elementary,Public,221,2016-2017
376035,Mount Carmel Blytheswood PS,Elementary,Public,218,2016-2017
411787,Northwood PS,Elementary,Public,968,2016-2017
435872,Parkview PS,Elementary,Public,233,2016-2017
439088,Pelee Island PS,Elementary,Public,13,2016-2017
440256,Percy P McCallum PS,Elementary,Public,457,2016-2017
452734,Prince Andrew PS,Elementary,Public,315,2016-2017
454168,Prince Edward PS,Elementary,Public,476,2016-2017
457280,Princess Elizabeth PS,Elementary,Public,213,2016-2017
462098,Queen Elizabeth PS,Elementary,Public,499,2016-2017
574155,Queen Victoria PS,Elementary,Public,414,2016-2017
939218,Riverside SS,Secondary,Public,863,2016-2017
491217,Roseland PS,Elementary,Public,435,2016-2017
491764,Roseville PS,Elementary,Public,288,2016-2017
939765,Sandwich SS,Secondary,Public,949,2016-2017
498513,Sandwich West PS,Elementary,Public,769,2016-2017
526703,Southwood PS,Elementary,Public,441,2016-2017
243524,Talbot Trail PS,Elementary,Public,870,2016-2017
539427,Tecumseh Vista Academy - Elementary,Elementary,Public,1011,2016-2017
902299,Tecumseh Vista Academy- Secondary,Secondary,Public,621,2016-2017
949612,Vincent Massey SS,Secondary,Public,1885,2016-2017
950009,W F Herman SS,Secondary,Public,760,2016-2017
950394,Walkerville CI,Secondary,Public,856,2016-2017
147362,West Gate PS,Elementary,Public,628,2016-2017
951927,Western SS,Secondary,Public,300,2016-2017
918806,Westview Freedom Academy SS,Secondary,Public,559,2016-2017
607541,William G Davis PS,Elementary,Public,313,2016-2017
953822,Windsor Public Alternative,Secondary,Public,179,2016-2017
687286,Ascension Sep S,Elementary,Public,271,2016-2017
688231,Assumption Roman Catholic SS,Secondary,Public,842,2016-2017
689726,Bishop Paul Francis Reding SS,Secondary,Public,1472,2016-2017
693987,Canadian Martyrs S,Elementary,Public,379,2016-2017
697125,Christ the King Catholic SS,Secondary,Public,1632,2016-2017
761182,Corpus Christi Catholic SS,Secondary,Public,1006,2016-2017
708160,Guardian Angels Catholic E S,Elementary,Public,940,2016-2017
714712,Holy Cross Catholic S,Elementary,Public,475,2016-2017
716936,Holy Family S,Elementary,Public,213,2016-2017
718483,Holy Rosary Sep S,Elementary,Public,418,2016-2017
719005,Holy Rosary Sep S,Elementary,Public,409,2016-2017
704300,Holy Trinity Catholic SS,Secondary,Public,1171,2016-2017
696392,Jean Vanier Catholic SS,Secondary,Public,1324,2016-2017
687394,Lumen Christi Catholic Elementary School E S,Elementary,Public,581,2016-2017
729159,Mother Teresa Catholic E S,Elementary,Public,427,2016-2017
738271,Notre Dame Roman Catholic SS,Secondary,Public,1023,2016-2017
737147,Our Lady of Fatima C Elem S,Elementary,Public,801,2016-2017
749052,Our Lady of Peace S,Elementary,Public,398,2016-2017
734373,Our Lady of Victory S,Elementary,Public,257,2016-2017
810355,Queen of Heaven Elementary CS,Elementary,Public,838,2016-2017
758280,Sacred Heart of Jesus Catholic S,Elementary,Public,499,2016-2017
755052,Sixteen Mile (Elem),Elementary,Public,188,2016-2017
768936,St Andrew Catholic S,Elementary,Public,779,2016-2017
777650,St Bernadette Sep S,Elementary,Public,573,2016-2017
780871,St Brigid S,Elementary,Public,885,2016-2017
781436,St Catherine of Alexandria E S,Elementary,Public,681,2016-2017
786861,St Dominics Sep S,Elementary,Public,627,2016-2017
789232,St Elizabeth Seton Catholic E S,Elementary,Public,435,2016-2017
792039,St Francis of Assisi Sep S,Elementary,Public,356,2016-2017
793884,St Gabriel S,Elementary,Public,576,2016-2017
798010,St Ignatius of Loyola SS,Secondary,Public,1237,2016-2017
798827,St James Sep S,Elementary,Public,210,2016-2017
801283,St Joan of Arc Catholic E S,Elementary,Public,492,2016-2017
805530,St Johns S,Elementary,Public,147,2016-2017
804410,St Johns Sep S,Elementary,Public,304,2016-2017
809144,St Joseph's S,Elementary,Public,391,2016-2017
814296,St Joseph's S,Elementary,Public,380,2016-2017
820679,St Luke E S,Elementary,Public,250,2016-2017
821241,St Marguerite d'Youville E S,Elementary,Public,537,2016-2017
823058,St Marks Sep S,Elementary,Public,340,2016-2017
823180,St Matthew's S,Elementary,Public,465,2016-2017
834319,St Michaels Sep S,Elementary,Public,208,2016-2017
839442,St Patrick Sep S,Elementary,Public,262,2016-2017
840912,St Paul S,Elementary,Public,271,2016-2017
843989,St Peters S,Elementary,Public,737,2016-2017
848484,St Raphaels Sep S,Elementary,Public,260,2016-2017
854212,St Thomas Aquinas Roman Catholic SS,Secondary,Public,1256,2016-2017
856630,St Timothy Sep S,Elementary,Public,537,2016-2017
858889,St Vincent's CS,Elementary,Public,282,2016-2017
772647,St. Anne Catholic E S,Elementary,Public,711,2016-2017
683661,St. Anthony of Padua C Elem S,Elementary,Public,972,2016-2017
681054,St. Benedict Elementary CS,Elementary,Public,752,2016-2017
838178,St. Christopher C Elem S,Elementary,Public,476,2016-2017
680039,St. John Paul II C Elem S,Elementary,Public,719,2016-2017
681423,St. Mary C Elem S,Elementary,Public,635,2016-2017
684465,Thomas Merton Catholic Secondary School,Secondary,Public,230,2016-2017
000779,Abbey Lane PS,Elementary,Public,372,2016-2017
913715,Abbey Park HS,Secondary,Public,1106,2016-2017
890332,Acton DHS,Secondary,Public,457,2016-2017
006777,Aldershot E S,Elementary,Public,241,2016-2017
890987,Aldershot HS,Secondary,Public,435,2016-2017
033680,Alexander's Public School,Elementary,Public,662,2016-2017
344051,Alton Village PS,Elementary,Public,994,2016-2017
251664,Anne J. MacArthur PS,Elementary,Public,1000,2016-2017
124887,Boyne PS,Elementary,Public,833,2016-2017
059501,Brant Hills PS,Elementary,Public,274,2016-2017
066249,Brookdale PS,Elementary,Public,279,2016-2017
066761,Brookville PS,Elementary,Public,416,2016-2017
058360,Bruce T Lindley,Elementary,Public,322,2016-2017
586248,Bruce Trail PS,Elementary,Public,1087,2016-2017
070777,Burlington Central E S,Elementary,Public,263,2016-2017
897353,Burlington Central HS,Secondary,Public,597,2016-2017
411795,C H Norton PS,Elementary,Public,511,2016-2017
085898,Captain R. Wilson PS,Elementary,Public,700,2016-2017
090140,Centennial Md S,Elementary,Public,434,2016-2017
094455,Central PS,Elementary,Public,361,2016-2017
077046,Charles R. Beaudoin PS,Elementary,Public,791,2016-2017
076970,Chris Hadfield PS,Elementary,Public,802,2016-2017
111090,Clarksdale PS,Elementary,Public,437,2016-2017
967740,Craig Kielburger SS,Secondary,Public,1464,2016-2017
147281,Dr Charles Best PS,Elementary,Public,257,2016-2017
893675,Dr. Frank J. Hayden SS,Secondary,Public,1548,2016-2017
156469,E J James PS,Elementary,Public,544,2016-2017
169110,E W Foster S,Elementary,Public,416,2016-2017
164267,Eastview PS,Elementary,Public,453,2016-2017
206470,Emily Carr PS,Elementary,Public,814,2016-2017
121112,Escarpment View Public School,Elementary,Public,1081,2016-2017
180123,Ethel Gardiner PS,Elementary,Public,644,2016-2017
193046,Falgarwood PS,Elementary,Public,420,2016-2017
194263,Florence Meares PS,Elementary,Public,623,2016-2017
474578,Forest Trail Public School (Elem),Elementary,Public,838,2016-2017
206474,Frontenac PS,Elementary,Public,492,2016-2017
901439,Garth Webb SS,Secondary,Public,1225,2016-2017
911607,Gary Allan High School - Bronte Creek,Secondary,Public,32,2016-2017
940968,Gary Allan High School - Burlington,Secondary,Public,252,2016-2017
890405,Gary Allan High School - Halton Hills,Secondary,Public,188,2016-2017
940976,Gary Allan High School - Milton,Secondary,Public,199,2016-2017
940984,Gary Allan High School - Oakville,Secondary,Public,138,2016-2017
911615,Gary Allan High School - SCORE,Secondary,Public,27,2016-2017
940925,Gary Allan High School - STEP,Secondary,Public,146,2016-2017
212369,George Kennedy PS,Elementary,Public,486,2016-2017
912433,Georgetown DHS,Secondary,Public,1571,2016-2017
216267,Gladys Speers PS,Elementary,Public,390,2016-2017
220523,Glen Williams PS,Elementary,Public,208,2016-2017
220426,Glenview PS,Elementary,Public,320,2016-2017
245259,Harrison PS,Elementary,Public,216,2016-2017
111600,Hawthorne Village PS,Elementary,Public,1152,2016-2017
253340,Heritage Glen PS,Elementary,Public,746,2016-2017
158377,Irma Coulson E PS,Elementary,Public,1075,2016-2017
918300,Iroquois Ridge HS,Secondary,Public,1442,2016-2017
280356,J M Denyes PS,Elementary,Public,220,2016-2017
138990,James W. Hill PS,Elementary,Public,608,2016-2017
285161,John T Tuck PS,Elementary,Public,768,2016-2017
223746,John William Boich PS,Elementary,Public,789,2016-2017
286087,Joseph Gibbons PS,Elementary,Public,129,2016-2017
408543,Joshua Creek PS,Elementary,Public,880,2016-2017
291536,Kilbride PS,Elementary,Public,267,2016-2017
299855,Kings Road PS,Elementary,Public,229,2016-2017
304271,Lakeshore PS,Elementary,Public,224,2016-2017
922501,Lester B. Pearson HS,Secondary,Public,391,2016-2017
312460,Limehouse PS,Elementary,Public,154,2016-2017
924393,M M Robinson HS,Secondary,Public,722,2016-2017
334693,Maple Grove PS,Elementary,Public,576,2016-2017
336122,Maplehurst PS,Elementary,Public,383,2016-2017
345229,Martin Street PS,Elementary,Public,208,2016-2017
353183,McKenzie-Smith Bennett,Elementary,Public,671,2016-2017
926736,Milton DHS,Secondary,Public,1048,2016-2017
368857,Mohawk Gardens PS,Elementary,Public,347,2016-2017
376086,Montclair PS,Elementary,Public,387,2016-2017
380199,Munn's PS,Elementary,Public,561,2016-2017
928160,Nelson HS,Secondary,Public,1006,2016-2017
383570,New Central PS,Elementary,Public,254,2016-2017
932060,Oakville Trafalgar HS,Secondary,Public,1258,2016-2017
414646,Oakwood PS,Elementary,Public,181,2016-2017
076727,Oodenawi PS,Elementary,Public,824,2016-2017
421472,Orchard Park PS,Elementary,Public,580,2016-2017
310777,P. L. Robertson Public School,Elementary,Public,1066,2016-2017
154705,Palermo PS,Elementary,Public,775,2016-2017
433888,Park PS,Elementary,Public,207,2016-2017
070734,Paul A Fisher PS,Elementary,Public,190,2016-2017
437565,Pauline Johnson PS,Elementary,Public,276,2016-2017
442011,Pilgrim Wood PS,Elementary,Public,665,2016-2017
444022,Pine Grove PS,Elementary,Public,704,2016-2017
445193,Pineland PS,Elementary,Public,759,2016-2017
445452,Pineview PS,Elementary,Public,197,2016-2017
451720,Post's Corners PS,Elementary,Public,534,2016-2017
485438,River Oaks PS,Elementary,Public,497,2016-2017
487252,Robert Baldwin PS,Elementary,Public,400,2016-2017
937665,Robert Bateman HS,Secondary,Public,786,2016-2017
487570,Robert Little PS,Elementary,Public,353,2016-2017
489395,Rolling Meadows PS,Elementary,Public,481,2016-2017
495263,Ryerson PS,Elementary,Public,214,2016-2017
556807,Sam Sherratt PS,Elementary,Public,584,2016-2017
510289,Sheridan PS,Elementary,Public,232,2016-2017
510130,Silver Creek PS,Elementary,Public,549,2016-2017
515353,Sir Ernest Macmillan PS,Elementary,Public,340,2016-2017
536881,Stewarttown Md S,Elementary,Public,372,2016-2017
543217,Sunningdale PS,Elementary,Public,601,2016-2017
550361,Tecumseh PS,Elementary,Public,255,2016-2017
947539,Thomas A Blakelock HS,Secondary,Public,1060,2016-2017
393777,Tiger Jeet Singh PS,Elementary,Public,1122,2016-2017
557269,Tom Thomson PS,Elementary,Public,413,2016-2017
579742,W H Morden PS,Elementary,Public,626,2016-2017
579874,W I Dick Md S,Elementary,Public,408,2016-2017
597260,West Oak PS,Elementary,Public,866,2016-2017
953121,White Oaks HS,Secondary,Public,1977,2016-2017
743868,Annunciation of Our Lord E S,Elementary,Public,716,2016-2017
689750,Bishop Ryan Catholic SS,Secondary,Public,1749,2016-2017
689386,Bishop Tonnos Catholic SS,Secondary,Public,1156,2016-2017
690279,Blessed Sacrament Sep S,Elementary,Public,253,2016-2017
733105,Blessed Teresa of Calcutta E S,Elementary,Public,346,2016-2017
693650,Canadian Martyrs S,Elementary,Public,179,2016-2017
694134,Cardinal Newman Catholic SS,Secondary,Public,1501,2016-2017
695343,Cathedral HS,Secondary,Public,1208,2016-2017
699500,Corpus Christi S,Elementary,Public,441,2016-2017
710997,Guardian Angels E S,Elementary,Public,479,2016-2017
717053,Holy Name of Jesus Sep S,Elementary,Public,416,2016-2017
704288,Holy Name of Mary Catholic S,Elementary,Public,417,2016-2017
819028,Immaculate Conception E S,Elementary,Public,585,2016-2017
721972,Immaculate Heart of Mary Sep S,Elementary,Public,326,2016-2017
745650,Our Lady of Lourdes Sep S,Elementary,Public,338,2016-2017
742350,Our Lady of Mount Carmel,Elementary,Public,260,2016-2017
748544,Our Lady of Peace,Elementary,Public,295,2016-2017
748633,Our Lady of the Assumption Sep S,Elementary,Public,426,2016-2017
752800,Regina Mundi Sep S,Elementary,Public,237,2016-2017
756180,Sacred Heart Sep S,Elementary,Public,162,2016-2017
765180,St Agnes,Elementary,Public,342,2016-2017
772046,St Ann (Ancaster) Catholic E S,Elementary,Public,333,2016-2017
772160,St Anns Sep S,Elementary,Public,334,2016-2017
785865,St Anthony Daniel's Catholic Elementary S,Elementary,Public,171,2016-2017
775681,St Augustines S,Elementary,Public,257,2016-2017
778028,St Bernadette S,Elementary,Public,254,2016-2017
781010,St Brigids Sep S,Elementary,Public,274,2016-2017
784400,St Clare of Assisi,Elementary,Public,281,2016-2017
786152,St David S,Elementary,Public,442,2016-2017
789720,St Eugenes S,Elementary,Public,538,2016-2017
792217,St Francis Xavier Jr Sep S,Elementary,Public,350,2016-2017
799530,St James the Apostle Sep S,Elementary,Public,221,2016-2017
800430,St Jean de Brebeuf SS,Secondary,Public,1517,2016-2017
770965,St Joachim S,Elementary,Public,400,2016-2017
804673,St John the Baptist Sep S,Elementary,Public,304,2016-2017
814032,St Josephs Sep S,Elementary,Public,384,2016-2017
817678,St Lawrence's Sep S,Elementary,Public,344,2016-2017
820652,St Luke Sep S,Elementary,Public,328,2016-2017
821705,St Margaret Mary Sep S,Elementary,Public,363,2016-2017
821268,St Marguerite d'Youville E S,Elementary,Public,460,2016-2017
696196,St Mark's Catholic E S,Elementary,Public,571,2016-2017
824313,St Martin of Tours Sep S,Elementary,Public,310,2016-2017
827401,St Mary's Sep S,Secondary,Public,1027,2016-2017
745279,St Matthew Catholic Elementary School,Elementary,Public,968,2016-2017
834220,St Michaels C Elem S,Elementary,Public,521,2016-2017
839779,St Patrick's C Elem S,Elementary,Public,212,2016-2017
842389,St Paul Sep S,Elementary,Public,391,2016-2017
851264,St Teresa of Avila Sep S,Elementary,Public,252,2016-2017
854336,St Thomas Catholic E S,Elementary,Public,279,2016-2017
855685,St Thomas More Catholic SS,Secondary,Public,1987,2016-2017
858102,St Vincent de Paul Sep S,Elementary,Public,273,2016-2017
838541,St. Charles Catholic Adult SS,Secondary,Public,432,2016-2017
825892,St. Gabriel Catholic Elementary School,Elementary,Public,563,2016-2017
751553,St. John Paul II Catholic Elementary E S,Elementary,Public,341,2016-2017
866725,St. Kateri Tekakwitha,Elementary,Public,265,2016-2017
773786,St. Thérèse of Lisieux Catholic E S,Elementary,Public,749,2016-2017
863955,Sts Peter & Paul Sep S,Elementary,Public,592,2016-2017
000728,A M Cunningham Jr PS,Elementary,Public,410,2016-2017
002674,Adelaide Hoodless PS,Elementary,Public,424,2016-2017
011568,Allan A Greenleaf E,Elementary,Public,493,2016-2017
891894,Ancaster HS,Secondary,Public,1166,2016-2017
287210,Ancaster Meadow E PS,Elementary,Public,851,2016-2017
018961,Ancaster Sr PS,Elementary,Public,339,2016-2017
050415,Balaclava PS,Elementary,Public,380,2016-2017
041548,Bellmoore PS,Elementary,Public,973,2016-2017
090131,Bennetto E S,Elementary,Public,492,2016-2017
047961,Beverly Central PS,Elementary,Public,173,2016-2017
041980,Billy Green E S,Elementary,Public,486,2016-2017
068845,Buchanan Park S,Elementary,Public,164,2016-2017
073130,C H Bray S,Elementary,Public,309,2016-2017
560408,Cathy Wever E PS,Elementary,Public,725,2016-2017
089257,Cecil B Stirling S,Elementary,Public,295,2016-2017
091723,Central Jr PS,Elementary,Public,301,2016-2017
105503,Chedoke Md S,Elementary,Public,573,2016-2017
117986,Collegiate Avenue S,Elementary,Public,278,2016-2017
213012,Cootes Paradise PS,Elementary,Public,604,2016-2017
132020,Dalewood Sr PS,Elementary,Public,274,2016-2017
903850,Delta SS,Secondary,Public,675,2016-2017
147427,Dr John Seaton Sr PS,Elementary,Public,215,2016-2017
488921,Dr. J. Edgar Davey (New) E PS,Elementary,Public,509,2016-2017
448940,Dundana PS,Elementary,Public,367,2016-2017
153087,Dundas Central PS,Elementary,Public,408,2016-2017
916579,Dundas Valley SS,Secondary,Public,932,2016-2017
158151,Earl Kitchener Jr PS,Elementary,Public,564,2016-2017
163481,Eastdale PS,Elementary,Public,201,2016-2017
171123,Elizabeth Bagshaw S,Elementary,Public,374,2016-2017
196240,Fessenden S,Elementary,Public,525,2016-2017
198668,Flamborough Centre S,Elementary,Public,260,2016-2017
203912,Franklin Jr PS,Elementary,Public,496,2016-2017
114477,Gatestone E PS,Elementary,Public,616,2016-2017
212490,George L Armstrong PS,Elementary,Public,492,2016-2017
217050,Glen Brae Md S,Elementary,Public,320,2016-2017
217301,Glen Echo Jr PS,Elementary,Public,302,2016-2017
913081,Glendale SS,Secondary,Public,843,2016-2017
673013,Glenwood Special Day S,Elementary,Public,41,2016-2017
222135,Gordon Price S,Elementary,Public,396,2016-2017
229130,Green Acres S,Elementary,Public,295,2016-2017
230430,Greensville PS,Elementary,Public,174,2016-2017
233552,Guy B Brown E PS,Elementary,Public,683,2016-2017
252557,Helen Detwiler Jr E S,Elementary,Public,527,2016-2017
254096,Hess Street Jr PS,Elementary,Public,352,2016-2017
256048,Highview PS,Elementary,Public,481,2016-2017
220145,Hillcrest E PS,Elementary,Public,551,2016-2017
261378,Holbrook Jr PS,Elementary,Public,206,2016-2017
273201,Huntington Park Jr PS,Elementary,Public,421,2016-2017
281492,James MacDonald PS,Elementary,Public,327,2016-2017
281026,Janet Lee PS,Elementary,Public,437,2016-2017
927163,King William Alter Ed SS,Secondary,Public,76,2016-2017
303755,Lake Avenue PS,Elementary,Public,506,2016-2017
094608,Lawfield E S,Elementary,Public,703,2016-2017
313173,Lincoln Alexander PS,Elementary,Public,235,2016-2017
314544,Lisgar Jr PS,Elementary,Public,302,2016-2017
345873,Mary Hopkins PS,Elementary,Public,338,2016-2017
360309,Memorial (City) S,Elementary,Public,460,2016-2017
361739,Memorial PS,Elementary,Public,371,2016-2017
364983,Millgrove PS,Elementary,Public,186,2016-2017
375900,Mount Albion PS,Elementary,Public,357,2016-2017
376299,Mount Hope PS,Elementary,Public,378,2016-2017
897957,Mountain SS,Secondary,Public,78,2016-2017
376949,Mountain View PS,Elementary,Public,330,2016-2017
378178,Mountview Jr PS,Elementary,Public,224,2016-2017
893455,Nora Henderson SS,Secondary,Public,722,2016-2017
412309,Norwood Park E S,Elementary,Public,485,2016-2017
932507,Orchard Park SS,Secondary,Public,957,2016-2017
434272,Parkdale S,Elementary,Public,213,2016-2017
437557,Pauline Johnson PS,Elementary,Public,424,2016-2017
025897,Prince of Wales E PS,Elementary,Public,639,2016-2017
464430,Queen Mary PS,Elementary,Public,618,2016-2017
548172,Queen Victoria E PS,Elementary,Public,557,2016-2017
465860,Queen's Rangers PS,Elementary,Public,130,2016-2017
466387,Queensdale S,Elementary,Public,335,2016-2017
467324,R A Riddell PS,Elementary,Public,748,2016-2017
468207,R L Hyslop E S,Elementary,Public,160,2016-2017
476773,Ray Lewis (Elem) S,Elementary,Public,631,2016-2017
480738,Richard Beasley Jr PS,Elementary,Public,204,2016-2017
484199,Ridgemount Jr PS,Elementary,Public,419,2016-2017
490695,Rosedale E S,Elementary,Public,165,2016-2017
493163,Rousseau PS,Elementary,Public,261,2016-2017
495379,Ryerson Md S,Elementary,Public,410,2016-2017
939730,Saltfleet HS,Secondary,Public,1182,2016-2017
941328,Sherwood SS,Secondary,Public,1073,2016-2017
941719,Sir Allan MacNab SS,Secondary,Public,991,2016-2017
515329,Sir Isaac Brock Jr PS,Elementary,Public,207,2016-2017
941883,Sir John A Macdonald SS,Secondary,Public,988,2016-2017
516244,Sir Wilfrid Laurier PS,Elementary,Public,462,2016-2017
466639,Sir William Osler E S,Elementary,Public,606,2016-2017
942448,Sir Winston Churchill SS,Secondary,Public,755,2016-2017
526983,Spencer Valley PS,Elementary,Public,185,2016-2017
539570,Strathcona Jr PS,Elementary,Public,193,2016-2017
548022,Tapleytown PS,Elementary,Public,295,2016-2017
550817,Templemead E S,Elementary,Public,580,2016-2017
918563,Turning Point S,Secondary,Public,104,2016-2017
891401,Vincent Massey/James Street,Secondary,Public,89,2016-2017
578703,Viscount Montgomery PS,Elementary,Public,401,2016-2017
