"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"2080","2018-2019","667186","Ontario eSecondary School","Secondary",NA,NA,5,5,NA,NA,10
"2081","2018-2019","665831","OpenMind Alliance Academy","Elementary",25,5,NA,NA,25,NA,30
"2082","2018-2019","880248","Or Haemet Sephardic School","Elementary",120,145,NA,NA,120,145,265
"2083","2018-2019","880744","Orangeville Christian School","Elementary",55,65,NA,NA,55,65,120
"2084","2018-2019","880442","Orillia Christian School","Elementary",55,25,NA,NA,55,25,80
"2085","2018-2019","885339","Ottawa Adventist Elementary School","Elementary",25,25,NA,NA,25,25,50
"2086","2018-2019","887358","Ottawa Christian School","Elementary",110,115,NA,NA,110,115,225
"2087","2018-2019","884146","Ottawa Islamic School","Elem/Sec",135,125,105,70,240,200,435
"2088","2018-2019","669700","Ottawa Jewish Community School","Elementary",80,90,NA,NA,80,90,170
"2089","2018-2019","881238","Ottawa Montessori School/Ecole Montessor","Elementary",60,65,NA,NA,60,65,125
"2090","2018-2019","882259","Ottawa Torah Institute","Secondary",NA,NA,5,5,NA,NA,10
"2091","2018-2019","667913","Ottawa Victory Christian Academy","Elem/Sec",5,5,15,5,NA,15,30
"2092","2018-2019","888788","Otter Lake Christian School","Elem/Sec",20,15,5,5,NA,NA,45
"2093","2018-2019","668714","Otter Valley Christian School","Elem/Sec",5,5,5,NA,NA,NA,15
"2094","2018-2019","666359","Our Future Academy","Elementary",20,5,NA,NA,20,NA,25
"2095","2018-2019","665195","Our Lady of Mount Carmel Academy","Elem/Sec",20,5,40,NA,60,NA,65
"2096","2018-2019","881566","Our Lady of the Pillar Academy","Elementary",15,15,NA,NA,15,15,30
"2097","2018-2019","877689","Our Lady of the Wayside Catholic School","Elem/Sec",10,20,5,5,NA,NA,40
"2098","2018-2019","876658","Owen Sound Canadian Reformed School","Elementary",30,25,NA,NA,30,25,55
"2099","2018-2019","667315","Oxford College of Canada","Secondary",NA,NA,95,75,95,75,170
"2100","2018-2019","668186","Oxford Learning Academy","Elementary",30,20,NA,NA,30,20,50
"2101","2018-2019","667985","Oxford Reformed Christian School","Elem/Sec",125,120,55,45,180,165,345
"2102","2018-2019","666343","P.T.Montessori","Elementary",40,25,NA,NA,40,25,65
"2103","2018-2019","668742","PICC Ummati Elementary School","Elementary",20,45,NA,NA,20,45,65
"2104","2018-2019","668194","Parkdale Montessori School","Elementary",5,5,NA,NA,NA,NA,10
"2105","2018-2019","886248","Parkside Academy","Elem/Sec",5,5,5,5,10,NA,20
"2106","2018-2019","888311","Pathfinder Christian School","Elem/Sec",20,20,5,5,NA,NA,50
"2107","2018-2019","878880","Pathways Academy & Early Learning Centre","Elementary",25,20,NA,NA,25,20,45
"2108","2018-2019","889191","Pathways Education Services Inc.","Secondary",NA,NA,5,5,NA,NA,10
"2109","2018-2019","669660","Pathways Educational Services Inc","Secondary",NA,NA,15,5,15,NA,20
"2110","2018-2019","878685","Paul Penna Downtown Jewish Day School","Elementary",85,70,NA,NA,85,70,155
"2111","2018-2019","665848","Peak Centre Academy","Elem/Sec",20,5,15,5,35,10,45
"2112","2018-2019","877670","Peel Adventist School","Elementary",55,50,NA,NA,55,50,105
"2113","2018-2019","875732","Peel Montessori School","Elementary",30,25,NA,NA,30,25,55
"2114","2018-2019","663700","Pelican Falls First Nations High School","Secondary",NA,NA,85,80,85,80,165
"2115","2018-2019","665160","Peoples Christian Academy","Elem/Sec",220,205,55,55,280,260,535
"2116","2018-2019","883640","Petre College","Secondary",NA,NA,5,5,NA,NA,10
"2117","2018-2019","878626","Philopateer Christian College","Elem/Sec",90,85,85,70,175,155,330
"2118","2018-2019","665010","Phoenix Montessori School Inc","Elementary",30,35,NA,NA,30,35,65
"2119","2018-2019","884359","Pickering Christian School","Elementary",105,105,NA,NA,105,105,210
"2120","2018-2019","885827","Pickering College","Elem/Sec",105,95,110,130,215,225,440
"2121","2018-2019","887324","Pine Mountain","Elementary",5,5,NA,NA,NA,NA,10
"2122","2018-2019","665443","Pine Ridge Amish School","Elementary",5,5,NA,NA,NA,NA,10
"2123","2018-2019","883938","Pinehaven Christian School","Elementary",5,5,NA,NA,NA,NA,10
"2124","2018-2019","888435","Pineview Mennonite School","Elem/Sec",25,20,5,5,NA,NA,55
"2125","2018-2019","875228","Plattsville Christian Private Elementary","Elementary",25,20,NA,NA,25,20,45
"2126","2018-2019","878820","Pleasant View Parochial School","Elem/Sec",25,15,NA,NA,25,15,40
"2127","2018-2019","883443","Polaris Learning Centre","Secondary",NA,NA,NA,5,NA,NA,5
"2128","2018-2019","669974","Polaris School and Centre - A Waldorf In","Elem/Sec",40,25,5,5,NA,NA,75
"2129","2018-2019","875406","Poplar Grove Parochial School","Elementary",15,5,NA,NA,15,NA,20
"2130","2018-2019","887834","Portlock Parochial School","Elementary",5,10,NA,NA,NA,10,15
"2131","2018-2019","884983","Prairie View School","Elementary",5,5,NA,NA,NA,NA,10
"2132","2018-2019","883927","Premium Institute of Excellence","Secondary",NA,NA,15,10,15,10,25
"2133","2018-2019","665949","Prestige School, The -Richmond Hill","Elem/Sec",20,20,5,5,NA,NA,50
"2134","2018-2019","666394","Prestige School, The -Toronto","Elem/Sec",75,65,25,20,100,90,185
"2135","2018-2019","878154","Pretty River Academy","Elem/Sec",20,30,5,5,NA,NA,60
"2136","2018-2019","888438","Primary Prep Academy","Elementary",5,5,NA,NA,NA,NA,10
"2137","2018-2019","885415","Princeton Academy of Canada","Secondary",NA,NA,20,10,20,10,30
"2138","2018-2019","880862","Prosperity Parochial School","Elementary",5,5,NA,NA,NA,NA,10
"2139","2018-2019","668622","Protestant Reformed School in Wingham","Elem/Sec",5,5,5,5,NA,10,20
"2140","2018-2019","885401","Providence Christian School","Elementary",120,140,NA,NA,120,140,260
"2141","2018-2019","877999","Providence Reformed Collegiate","Secondary",NA,NA,45,55,45,55,100
"2142","2018-2019","880915","Pure Degree Mandarin School","Elementary",15,5,NA,NA,15,NA,20
"2143","2018-2019","883813","Quantum Academy","Elem/Sec",NA,NA,5,5,NA,NA,10
"2144","2018-2019","882306","Queen Elizabeth Academy","Secondary",NA,NA,15,5,15,NA,20
"2145","2018-2019","883508","Queen's Academic School","Secondary",NA,NA,10,5,10,NA,15
"2146","2018-2019","666920","Queen's Collegiate","Secondary",NA,NA,10,15,10,15,25
"2147","2018-2019","883297","Queen's Elite Academy of Canada","Secondary",NA,NA,20,15,20,15,35
"2148","2018-2019","669065","Queens Gate Academy","Elementary",25,20,NA,NA,25,20,45
"2149","2018-2019","882297","Queenswood High School","Elem/Sec",NA,NA,5,5,NA,NA,10
"2150","2018-2019","889830","Quinte Christian High School","Secondary",NA,NA,55,60,55,60,115
"2151","2018-2019","668682","Quintilian Private School of Kingston","Elementary",25,NA,NA,NA,25,NA,25
"2152","2018-2019","887765","Red Hill Parochial School","Elementary",15,5,NA,NA,15,NA,20
"2153","2018-2019","889067","Redeemer Christian High School","Secondary",NA,NA,75,75,75,75,150
"2154","2018-2019","880108","Rehoboth Christian School","Elem/Sec",135,120,70,50,205,170,375
"2155","2018-2019","889016","Rehoboth Christian School","Elem/Sec",350,300,120,115,470,415,885
"2156","2018-2019","667185","Resurrection Christian Academy","Elementary",55,35,NA,NA,55,35,90
"2157","2018-2019","885146","Revel Academy","Elementary",10,5,NA,NA,10,NA,15
"2158","2018-2019","880574","Rhema Christian School","Elementary",45,30,NA,NA,45,30,75
"2159","2018-2019","665754","Richland Academy","Elementary",85,60,NA,NA,85,60,145
"2160","2018-2019","667056","Richmond Hill Christian Academy","Elem/Sec",190,165,5,5,NA,NA,365
"2161","2018-2019","876518","Richmond Hill Montessori Private School","Elementary",305,315,NA,NA,305,315,620
